분류,이름,주소,전화번호,대표사진주소
산,한라산 동능,제주특별자치도 서귀포시 상효동,,
계곡,카멜리아힐 용소폭포,제주특별자치도 서귀포시 안덕면 상창리 267-2,,
오름,병곳오름,제주특별자치도 서귀포시 표선면 가시리 산 8,,
오름,넙게오름,제주특별자치도 서귀포시 안덕면 서광리 943,,
오름,한라산 삼형제큰오름,제주특별자치도 서귀포시 색달동 산 1-3,,
하천,효돈천,제주특별자치도 서귀포시 남원읍 하례리,,
섬,문섬,제주특별자치도 서귀포시 서귀동 산 4,064-760-2652,
동굴,소정방굴,제주특별자치도 서귀포시 동홍동,,
문화유적,서귀본향당,제주특별자치도 서귀포시 이중섭로 23-11,,
"관광,명소",생이돌,제주특별자치도 서귀포시 일주동로 8078,,
"관광,명소",화순서동로유채꽃길,제주특별자치도 서귀포시 안덕면 화순리 2046,,
"관광,명소",혼인지정보센터,제주특별자치도 서귀포시 성산읍 혼인지로 39-22,,
오름,망밭,제주특별자치도 서귀포시 서호동 73,,
"릉,묘,총",하원동탐라왕자묘,제주특별자치도 서귀포시 하원동 14,,
유적지,존자암지,제주특별자치도 서귀포시 영실로 243,064-749-1414,
오름,돈두악,제주특별자치도 서귀포시 대정읍 영락리 1487-1,,
올레길,열리해안산책로,제주특별자치도 서귀포시 하예동,,
관광안내소,새연교안내소,제주특별자치도 서귀포시 남성중로 40,,
도보여행,제주올레길 3코스갈림길,제주특별자치도 서귀포시 성산읍 온평리 1110-6,,
오름,민오름,제주특별자치도 서귀포시 남원읍 수망리 산 158-1,,
"관광,명소",신천리벽화마을,제주특별자치도 서귀포시 성산읍 신천리 478-1,,
전망대,섭지코지전망대,제주특별자치도 서귀포시 성산읍 고성리,,
오름,굿산망,제주특별자치도 서귀포시 하원동 1806,,
,한라산국립공원 어승생악탐방로,,,
"수목원,식물원",하늘아래수목원,제주특별자치도 서귀포시 호근북로 368,,
오름,궁대악,제주특별자치도 서귀포시 성산읍 수산리 4711-8,,
오름,족은대비악,제주특별자치도 서귀포시 안덕면 광평리 산 59,,
관광안내소,제주올레안내센터,제주특별자치도 서귀포시 일주동로 9217,,
문화유적,서귀포층 패류화석산지,제주특별자치도 서귀포시 남성중로 43,,
"관광,명소",공물,제주특별자치도 서귀포시 이어도로 974,,
오름,가시오름,제주특별자치도 서귀포시 대정읍 동일리 1706,,
"관광,명소",거믄여해안,제주특별자치도 서귀포시 동홍동,,
산봉우리,녹남봉,제주특별자치도 서귀포시 대정읍 신도리 808-4,,
바위,영실기암,제주특별자치도 서귀포시 중문동,,
테마파크시설,휘닉스제주섭지코지 해안산책로,제주특별자치도 서귀포시 성산읍 고성리 1,,
숲,무릉곶 자왈아름다운숲길,제주특별자치도 서귀포시 대정읍 무릉리 산 50,,
산봉우리,달산봉,제주특별자치도 서귀포시 표선면 하천리 1043-2,,
유적지,문형순 경찰서장 공덕비,제주특별자치도 서귀포시 대정읍 동일리 2995-1,,
"탑,비석",최남단비,제주특별자치도 서귀포시 대정읍 가파리,,
"관광,명소",정방폭포 관광안내소,제주특별자치도 서귀포시 칠십리로214번길 33,064-732-1393,
산봉우리,독자봉,제주특별자치도 서귀포시 성산읍 신산리 1785,,
오름,걸서악,제주특별자치도 서귀포시 남원읍 하례리 산 124,,
전망대,월라봉 전망대 쉼터,제주특별자치도 서귀포시 안덕면 감산리 1178,,
유적지,구억국민학교 옛터,제주특별자치도 서귀포시 대정읍 구억리 866-1,,
오름,보롬이,제주특별자치도 서귀포시 대정읍 무릉리 3526-3,,
테마파크시설,익스트림아일랜드,제주특별자치도 서귀포시 월드컵로 31 서귀포월드컵경기장 내,,
"탑,비석",섯알오름위령탑,제주특별자치도 서귀포시 대정읍 상모리,,
관광농원,돈네코동일농원,제주특별자치도 서귀포시 토평동 3240-2,,
유적지,시오름 주둔소 입구,제주특별자치도 서귀포시 서호동 산 9-1,,
문화유적,수산본향당,제주특별자치도 서귀포시 성산읍 산성효자로 228-27,,
오름,더더오름,제주특별자치도 서귀포시 상예동 4389-2,,
바위,병풍바위,제주특별자치도 서귀포시 하원동,,
오름,번널오름,제주특별자치도 서귀포시 표선면 가시리 산 10-5,,
오름,섯거제,제주특별자치도 서귀포시 호근동 520-23,,
"릉,묘,총",백조일손지묘,제주특별자치도 서귀포시 대정읍 상모리 586-1,064-730-1296,
바위,조배머들코지,제주특별자치도 서귀포시 남원읍 위미리 1757-16,,
동굴,신비동굴,제주특별자치도 서귀포시 표선면 중산간동로 4772,,
관광안내소,한라산 어리목탐방안내소,제주특별자치도 제주시 1100로 2070-61,,
"관광,명소",동너븐덕,제주특별자치도 서귀포시 서홍동 797,,
오름,제석오름,제주특별자치도 서귀포시 표선면 하천리 429-1,,
"관광,명소",족지물,제주특별자치도 서귀포시 성산읍 오조로 33,,
"관광,명소",알뜨르비행장길,제주특별자치도 서귀포시 대정읍 상모리 1670,,
전망대,한국우주전파관측망 탐라전파천문대,제주특별자치도 서귀포시 1100로 506,,
오름,소수산봉,제주특별자치도 서귀포시 성산읍 고성리 887,,
관광안내소,물영아리 탐방안내소,제주특별자치도 서귀포시 남원읍 남조로 988-3,,
"산성,성곽",수산진성,제주특별자치도 서귀포시 성산읍 수시로 9,,
계곡,천아계곡,제주특별자치도 제주시 애월읍 광령리 산 183-2,,
오름,대왕산,제주특별자치도 서귀포시 성산읍 수산리 1431,,
유적지,섯알오름 탄약고터,제주특별자치도 서귀포시 대정읍 상모리 1590-3,,
"탑,비석",100주년기념탑,제주특별자치도 서귀포시 성산읍 고성리,,
유적지,남원읍 충혼묘지,제주특별자치도 서귀포시 남원읍 남조로 973,,
"생태보존,서식지",제주녹나무자생지,제주특별자치도 서귀포시 도순동 210,,
테마거리,내수면둑방길,제주특별자치도 서귀포시 성산읍 오조로 33,,
"관광,명소",중산간,제주특별자치도 서귀포시 성산읍 온평리 1402-2,,
오름,법정악,제주특별자치도 서귀포시 하원동 산 1-1,,
유적지,하원마을 제주4.3사건 희생자 위령비,제주특별자치도 서귀포시 하원동 산 76-3,,
유적지,제주4.3 성산읍 희생자 추모공원,제주특별자치도 서귀포시 성산읍 고성리 224-1,,
오름,유건에오름,제주특별자치도 서귀포시 성산읍 난산리 2302,,
오름,여문영아리,제주특별자치도 서귀포시 표선면 가시리 산 145,,
관광안내소,한라산 관음사지구탐방지원센터,제주특별자치도 제주시 산록북로 588,,
저수지,어승생제2수원지,제주특별자치도 제주시 해안동,,
저수지,남문지못,제주특별자치도 서귀포시 대정읍 인성리,,
전망대,베릿내오름전망대,제주특별자치도 서귀포시 중문동 2311,,
오름,인정오름,제주특별자치도 서귀포시 토평동 1952,,
"관광,명소",수봉로,제주특별자치도 서귀포시 법환동,,
문화유적,현의합장묘,제주특별자치도 서귀포시 남원읍 중산간동로 6242-56,,
테마파크시설,이상한나라의앨리스 서광카트장,제주특별자치도 서귀포시 안덕면 서광리 771,,
오름,한라산 웃세누운오름,제주특별자치도 서귀포시 영남동 산 1-1,,
온천,디아넥스 온천,제주특별자치도 서귀포시 안덕면 산록남로762번길 71,064-793-6005,
문화유적,신도리도요지,제주특별자치도 서귀포시 대정읍 신도리 3138,064-760-2505,
도보여행,이생진시비거리,제주특별자치도 서귀포시 성산읍 성산리 305-1,,
유적지,구억리검은굴,제주특별자치도 서귀포시 대정읍 구억리 838-2,,
오름,도청오름,제주특별자치도 서귀포시 표선면 표선리 산 4-1,,
오름,소병악,제주특별자치도 서귀포시 안덕면 상창리 산 2-1,,
"향교,서당",성읍민속마을 정의향교,제주특별자치도 서귀포시 표선면 성읍서문로 14,064-787-1324,
유적지,터진목,제주특별자치도 서귀포시 성산읍 성산리 399-89,,
오름,활오름,제주특별자치도 서귀포시 강정동 3728,,
오름,논오름,제주특별자치도 서귀포시 안덕면 상창리 2781,,
테마거리,제주신화월드 신화쇼핑스트리트,제주특별자치도 서귀포시 안덕면 서광리 산 24,1670-1188,
문화유적,벌포연대,제주특별자치도 서귀포시 남원읍 태흥리 1177,,
전망대,한라산전망대,제주특별자치도 서귀포시 색달동,,
문화유적,제주셋알오름 일제고사포진지,제주특별자치도 서귀포시 대정읍 상모리 316,,
,한라산둘레길 사려니숲길,,,
전망대,서귀포자연휴양림 법정악전망대,제주특별자치도 서귀포시 영실로 226,,
테마파크시설,신화워터파크 실내워터파크동,제주특별자치도 서귀포시 안덕면 서광리 산 24,,
오름,갑선이오름,제주특별자치도 서귀포시 표선면 가시리 산 2,,
오름,모라리오름,제주특별자치도 서귀포시 색달동 산 16-1,,
저수지,수월이못,제주특별자치도 서귀포시 대정읍 안성리,,
오름,마흐니,제주특별자치도 서귀포시 남원읍 수망리 산 203,,
숲,휴애리자연생활공원 대나무산책로,제주특별자치도 서귀포시 남원읍 신례리 46-8,,
문화유적,동광문화마을,제주특별자치도 서귀포시 안덕면 동광리,,
오름,남산봉,제주특별자치도 서귀포시 성산읍 신풍리 1657-1,,
"관광,명소",신천아트빌리지,제주특별자치도 서귀포시 성산읍 신천리 476,,
,한라산국립공원 어리목탐방로,,,
오름,동알오름,제주특별자치도 서귀포시 대정읍 상모리 152,,
"관광,명소",걸매예술마을,제주특별자치도 서귀포시 서귀동 332-19,,
"도자기,도예촌",세라믹팩토리 아토,제주특별자치도 서귀포시 남성로 134-1,064-732-9951,
숲,추사와아호,제주특별자치도 서귀포시 안덕면 사계리,,
봉수대,오소포연대,제주특별자치도 서귀포시 성산읍 오조리 392,,
유적지,잃어버린 마을 영남동,제주특별자치도 서귀포시 영남동 274,,
"관광,명소",극락의문,제주특별자치도 서귀포시 남원읍 516로 815-41,,
"탑,비석",김정희유허비,제주특별자치도 서귀포시 대정읍 추사로 44,,
봉수대,당포연대,제주특별자치도 서귀포시 하예동 1729,,
,노을해안길 1코스,,,
저수지,미와미못,제주특별자치도 서귀포시 성산읍 삼달리,,
오름,고이오름,제주특별자치도 서귀포시 남원읍 한남리 산 15-2,,
오름,거린오름,제주특별자치도 서귀포시 안덕면 동광리 산 94,,
바위,선녀바위,제주특별자치도 서귀포시 성산읍 고성리,,
관광안내소,서귀포 종합관광안내소,제주특별자치도 서귀포시 남성중로 2-13,064-760-3544,
동물원,재리쥬 2호점,제주특별자치도 서귀포시 표선면 가시로 351-9 1층,064-787-7152,
유적지,송령이골,제주특별자치도 서귀포시 남원읍 의귀리 1974-3,,
"관광,명소",화랑수석원,제주특별자치도 서귀포시 일주서로 591,064-739-4441,
테마거리,해병대길,제주특별자치도 서귀포시 표선면 토산리,,
오름,월산봉,제주특별자치도 서귀포시 중산간서로 95,,
연못,신도생태연못,제주특별자치도 서귀포시 대정읍 신도리,,
유적지,제주4·3 수악주둔소,제주특별자치도 서귀포시 남원읍 신례리 산 5,,
숲,제주삼나무길,제주특별자치도 제주시 봉개동,,
오름,예촌망,제주특별자치도 서귀포시 남원읍 하례리 95-2,,
봉수대,천미연대,제주특별자치도 서귀포시 성산읍 신천리 267,,
도보여행,굿당산책로,제주특별자치도 서귀포시 이어도로 384-20,,
하천,창고천,제주특별자치도 서귀포시 안덕면 상천리,,
"도자기,도예촌",제주도예촌,제주특별자치도 서귀포시 대정읍 암반수마농로441번길 3,064-792-0052,
산,고배기 동산,제주특별자치도 서귀포시 안덕면 광평리,,
오름,웅악,제주특별자치도 서귀포시 남원읍 수망리 127,,
"관광,명소",야자수동산,제주특별자치도 서귀포시 서호동 90,,
관광안내소,제주월드컵경기장 종합안내센터,제주특별자치도 서귀포시 월드컵로 33,,
오름,알오름,제주특별자치도 서귀포시 표선면 토산리 산 11,,
유적지,사계발자국 화석발견지,제주특별자치도 서귀포시 대정읍 상모리,,
유적지,구억리노랑굴,제주특별자치도 서귀포시 대정읍 구억리 720,,
오름,오백나한,제주특별자치도 서귀포시 하원동,,
오름,신산오름,제주특별자치도 서귀포시 안덕면 창천리 328,,
도보여행,야자수길,제주특별자치도 서귀포시 대포동 1252-2,,
오름,소왕산,제주특별자치도 서귀포시 성산읍 시흥리 2160,,
"수목원,식물원",식물원,제주특별자치도 서귀포시 칠십리로 242,,
오름,설오름,제주특별자치도 서귀포시 표선면 가시리 산 1,,
"생태보존,서식지",제주왕벚나무자생지,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,,
오름,무악,제주특별자치도 서귀포시 안덕면 상천리 산 103,,
오름,운지악,제주특별자치도 서귀포시 남원읍 남원리 760-2,,
하천,악근천,제주특별자치도 서귀포시 강정동,,
분류,이름,주소,전화번호,대표사진주소
,올레길 18코스(제주원도심-조천 올레),,,
,올레길 17코스(광령-제주원도심 올레),,,
,올레길 13코스(용수-저지 올레),,,
,올레길 16코스(고내-광령 올레),,,
,올레길 20코스(김녕-하도 올레),,,
,올레길 19코스(조천-김녕 올레),,,
,올레길 14코스(저지-한림 올레),,,
,올레길 21코스,,,
,올레길 14-1코스(저지-서광 올레),,,
,올레길 15-A코스(한림-고내 올레),,,
,올레길 15-B코스(한림-고내 올레),,,
,올레길 1-1코스(우도-올레),,,
,올레길 18-1코스(추자도 올레),,,
"관광,명소",스누피가든,제주특별자치도 제주시 구좌읍 금백조로 930,064-784-0930,
"해수욕장,해변",함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,064-728-3989,
자연휴양림,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,064-710-7912,
"해수욕장,해변",협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,064-728-3981,
오름,산굼부리,제주특별자치도 제주시 조천읍 교래리 166-2,064-783-9900,
테마파크,9.81파크,제주특별자치도 제주시 애월읍 천덕로 880-24,1833-9810,
오름,금오름,제주특별자치도 제주시 한림읍 금악리 산 1-1,,
국립공원,한라산국립공원,제주특별자치도 제주시 오등동 산 182,064-713-9950,
드라이브코스,도두동무지개해안도로,제주특별자치도 제주시 도두일동 1734,,
숲,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,064-900-8800,
"해수욕장,해변",이호테우해수욕장,제주특별자치도 제주시 이호일동 1665-13,064-728-3993,
오름,도두봉,제주특별자치도 제주시 도두일동 산 2,064-710-6043,
숲,비밀의숲,제주특별자치도 제주시 구좌읍 송당리 2173,,
동굴,만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,064-710-7903,
바위,용두암,제주특별자치도 제주시 용두암길 15,064-711-1022,
"해수욕장,해변",금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,064-728-3983,
테마파크,에코랜드테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169,064-802-8000,
섬,우도,제주특별자치도 제주시 우도면 연평리,064-728-4333,
"해수욕장,해변",김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,064-728-3987,
오름,새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,,
자연휴양림,제주절물자연휴양림,제주특별자치도 제주시 명림로 584,064-728-1510,
드라이브코스,신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1,,
오름,수월봉,제주특별자치도 제주시 한경면 고산리 3760,,
"해수욕장,해변",곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565,064-728-3985,
오름,용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산 28,,
"관광,명소",한림공원,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,
"수목원,식물원",한라수목원,제주특별자치도 제주시 수목원길 72,064-710-7575,
"해수욕장,해변",세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,064-728-7752,
유적지,항파두리 항몽유적지,제주특별자치도 제주시 애월읍 항파두리로 50,064-710-6720,
"해수욕장,해변",월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33-3,064-728-3394,
"해수욕장,해변",한담해변,제주특별자치도 제주시 애월읍 애월리,064-728-3394,
,한라산국립공원 성판악탐방로,,,
"관광,명소",한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,,
오름,안돌오름,제주특별자치도 제주시 구좌읍 송당리 산 66-2,,
오름,다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 산 6,,
테마파크,제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,064-710-7731,
문화유적,관덕정,제주특별자치도 제주시 관덕로 19,064-710-6717,
오름,거문오름,제주특별자치도 제주시 조천읍 선교로 569-36,064-710-8981,
"해수욕장,해변",삼양해수욕장,제주특별자치도 제주시 삼양이동 1960-4,064-728-3991,
동물원,화조원,제주특별자치도 제주시 애월읍 애원로 804,064-799-9988,
드라이브코스,애월해안도로,제주특별자치도 제주시 애월읍 신엄리 2719-3,,
테마거리,신비의도로,제주특별자치도 제주시 노형동 291-16,,
테마파크,김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,064-782-9266,
오름,서우봉,제주특별자치도 제주시 조천읍 함덕리 169-3,,
테마파크,메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47,064-784-3838,
바위,창꼼,제주특별자치도 제주시 조천읍 북촌리 403-9,,
"수목원,식물원",수목원테마파크,제주특별자치도 제주시 은수길 69,064-742-3700,
오름,아부오름,제주특별자치도 제주시 구좌읍 송당리 2263,,
드라이브코스,용담해안도로,제주특별자치도 제주시 도두일동,,
카페거리,애월카페거리,제주특별자치도 제주시 애월읍 애월리,,
"관광,명소",돌염전,제주특별자치도 제주시 애월읍 구엄리,,
유원지,제주레일바이크,제주특별자치도 제주시 구좌읍 용눈이오름로 641,064-783-0033,
,닭머르해안길 1코스,,,
테마파크,제주불빛정원,제주특별자치도 제주시 애월읍 평화로 2346,064-799-6996,
"관광,명소",월령선인장군락지,제주특별자치도 제주시 한림읍 월령리 359-4,,
테마파크,선녀와나무꾼 테마공원,제주특별자치도 제주시 조천읍 선흘리 1997,064-784-9001,
유적지,제주4.3평화공원,제주특별자치도 제주시 명림로 430,064-723-4344,
오름,저지오름,제주특별자치도 제주시 한경면 저지리 산 51,,
"관광,명소",닭머르,제주특별자치도 제주시 조천읍 신촌리 3403,,
자연휴양림,교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,064-783-7482,
테마파크,제주 유리의성,제주특별자치도 제주시 한경면 녹차분재로 462,064-772-7777,
산봉우리,사라봉,제주특별자치도 제주시 건입동 387-1,,
섬,추자도,제주특별자치도 제주시 추자면 묵리,064-728-4281,
숲,한라생태숲,제주특별자치도 제주시 516로 2596,064-710-8688,
테마파크,제주공룡랜드,제주특별자치도 제주시 애월읍 광령평화2길 1,064-746-3060,
테마파크,제주레포츠랜드,제주특별자치도 제주시 조천읍 와흘상서2길 47,064-784-8800,
숲,삼다수숲길,제주특별자치도 제주시 조천읍 교래리 산 70-1,,
유적지,삼성혈,제주특별자치도 제주시 삼성로 22,,
테마파크,액티브파크,제주특별자치도 제주시 한림읍 금능남로 76,064-796-0880,
오름,아끈다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 2593-2,,
,한라산국립공원 관음사탐방로,,,
오름,큰바리메,제주특별자치도 제주시 애월읍 어음리 산 21,,
테마파크,제주러브랜드 (휴업중),제주특별자치도 제주시 1100로 2894-72,064-712-6988,
오름,어승생,제주특별자치도 제주시 해안동 산 220-12,064-713-9952,
"산성,성곽",별방진,제주특별자치도 제주시 구좌읍 하도리 3354,064-728-8662,
섬,비양도,제주특별자치도 제주시 한림읍 협재리,,
테마파크,서프라이즈테마파크,제주특별자치도 제주시 조천읍 남조로 2243,064-783-7272,
산봉우리,지미봉,제주특별자치도 제주시 구좌읍 종달리 산 3-1,,
"해수욕장,해변",하도해변,제주특별자치도 제주시 구좌읍 하도리,064-728-3394,
산봉우리,수산봉,제주특별자치도 제주시 애월읍 수산리 산 1-1,,
숲,동백동산,제주특별자치도 제주시 조천읍 선흘리 산 12,064-784-9446,
실내동물원,캐니언파크 제주점,제주특별자치도 제주시 삼무로 51 1층,064-711-1145,
"해수욕장,해변",검멀레해변,제주특별자치도 제주시 우도면 연평리,064-728-4353,
관광안내소,한라산 성판악탐방안내소,제주특별자치도 제주시 조천읍 516로 1865,,
계곡,용연계곡,제주특별자치도 제주시 용담일동 2581-4,,
"해수욕장,해변",종달리해변,제주특별자치도 제주시 구좌읍 종달리 622-5,064-728-7711,
"해수욕장,해변",신창풍차해안,제주특별자치도 제주시 한경면 신창리 1290-2,,
"해수욕장,해변",평대리해수욕장,제주특별자치도 제주시 구좌읍 평대리,,
오름,큰노꼬메오름,제주특별자치도 제주시 애월읍 유수암리 산 138,,
"수목원,식물원",방림원,제주특별자치도 제주시 한경면 용금로 864,064-773-0090,
도보여행,수월봉지질트레일,제주특별자치도 제주시 한경면 고산리 3760,,
"해수욕장,해변",우도산호해변,제주특별자치도 제주시 우도면 연평리,064-728-1527,
전망대,수월봉전망대,제주특별자치도 제주시 한경면 고산리 3760,,
"해수욕장,해변",엉알해안,제주특별자치도 제주시 한경면 고산리,064-728-7973,
테마거리,종달리수국길,제주특별자치도 제주시 구좌읍 종달리,,
먹자골목,흑돼지거리,제주특별자치도 제주시 일도일동 1492-1,,
섬,차귀도,제주특별자치도 제주시 한경면 고산리 125,,
"관광,명소",송당무끈모루,제주특별자치도 제주시 구좌읍 송당리 2793,,
"관광,명소",청굴물,제주특별자치도 제주시 구좌읍 김녕리 1296,,
카페거리,제주카페거리,제주특별자치도 제주시 용담삼동,,
숲,샤이니숲길,제주특별자치도 제주시 조천읍 교래리 719-10,,
"관광,명소",김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1,064-721-1482,
오름,궷물오름,제주특별자치도 제주시 애월읍 유수암리 산 136-6,,
관광안내소,만장굴입구매표소,제주특별자치도 제주시 구좌읍 만장굴길 182,,
"해수욕장,해변",하고수동해변,제주특별자치도 제주시 우도면 연평리,064-728-4352,
동물원,새별프렌즈,제주특별자치도 제주시 애월읍 평화로 1529,064-794-2828,
온천,용두암해수랜드,제주특별자치도 제주시 서해안로 630,064-742-7000,
테마파크,금능석물원,제주특별자치도 제주시 한림읍 한림로 176,010-2241-1361,
관광안내소,거문오름 탐방안내소,제주특별자치도 제주시 조천읍 선교로 569-36,064-710-8981,
오름,민오름,제주특별자치도 제주시 오라이동 산 28-1,,
"해수욕장,해변",몽돌해변,제주특별자치도 제주시 내도동 465-2,,
"관광,명소",저지문화예술인마을,제주특별자치도 제주시 한경면 저지14길 28-2,,
관광안내소,산굼부리매표소,제주특별자치도 제주시 조천읍 비자림로 768,,
"관광,명소",조천만세동산,제주특별자치도 제주시 조천읍 신북로 303,064-783-2008,
문화유적,제주목 관아,제주특별자치도 제주시 관덕로 25,,
오름,검은오름,제주특별자치도 제주시 연동 산 110-1,,
드라이브코스,용두암해안도로,제주특별자치도 제주시 용담2동,,
테마파크,바운스슈퍼파크 제주센터,제주특별자치도 제주시 연사6길 61 1층,070-4647-0559,
오름,정물오름,제주특별자치도 제주시 한림읍 금악리 산 52-1,,
종교유적지,천주교용수성지,제주특별자치도 제주시 한경면 용수1길 108,064-772-1252,
,한라산국립공원 어승생악탐방로,,,
"사당,제단",산천단,제주특별자치도 제주시 아라일동 375-4,,
오름,문도지오름,제주특별자치도 제주시 한림읍 금악리 3445,,
테마파크,제주센트럴파크,제주특별자치도 제주시 조천읍 교래리 산 56-4,064-782-7720,
계곡,천아계곡,제주특별자치도 제주시 애월읍 광령리 산 183-2,,
드라이브코스,종달리해안도로,제주특별자치도 제주시 구좌읍 종달리 630-1,,
테마파크시설,노루생태관찰원,제주특별자치도 제주시 봉개동 산 51-2,064-728-3611,
관광안내소,한라산 관음사지구탐방지원센터,제주특별자치도 제주시 산록북로 588,,
저수지,어승생제2수원지,제주특별자치도 제주시 해안동,,
오름,당산봉,제주특별자치도 제주시 한경면 용수리 산 28,,
숲,상가리야자숲,제주특별자치도 제주시 애월읍 상가리 536,,
관광안내소,한라산 어리목탐방안내소,제주특별자치도 제주시 1100로 2070-61,,
계곡,무수천,제주특별자치도 제주시 애월읍 광령리,,
"해수욕장,해변",신흥해수욕장,제주특별자치도 제주시 조천읍 신흥리,,
"관광,명소",올티스,제주특별자치도 제주시 조천읍 거문오름길 23-58,064-783-9700,
,한라산둘레길 사려니숲길,,,
도보여행,서우봉 산책로,제주특별자치도 제주시 조천읍 함덕리 163,,
저수지,연화지,제주특별자치도 제주시 애월읍 하가리 1569-2,,
숲,제주삼나무길,제주특별자치도 제주시 봉개동,,
오름,쇠머리오름,제주특별자치도 제주시 우도면 연평리 산 23,064-728-4333,
온천,부림온천,제주특별자치도 제주시 과원로 70,064-711-4000,
테마파크,포레스트사파리,제주특별자치도 제주시 조천읍 선교로 474-1,064-783-0300,
자전거여행,용두암 인증센터,제주특별자치도 제주시 용담이동 493-6,,
"관광,명소",비양도망대,제주특별자치도 제주시 우도면 연평리,,
테마거리,누웨마루거리,제주특별자치도 제주시 연동 273,,
테마거리,칠성로쇼핑거리,제주특별자치도 제주시 일도1동 1296-5,,
관광농원,개똥이네농장,제주특별자치도 제주시 조천읍 종인내길 133,064-759-0017,
"수목원,식물원",한림공원 아열대식물원,제주특별자치도 제주시 한림읍 한림로 300,,
"관광,명소",오저여,제주특별자치도 제주시 구좌읍 행원리 1-91,,
테마파크,고스트타운,제주특별자치도 제주시 애월읍 부룡수길 35-14,064-748-4245,
"관광,명소",알작지,제주특별자치도 제주시 테우해안로 60,,
저수지,수산저수지,제주특별자치도 제주시 애월읍 수산리,,
산봉우리,별도봉,제주특별자치도 제주시 화북일동 4472,,
"해수욕장,해변",알작지해변,제주특별자치도 제주시 내도동 465-2,,
오름,거슨세미오름,제주특별자치도 제주시 구좌읍 송당리 산 145,,
먹자골목,국수문화거리,제주특별자치도 제주시 일도2동 1050-1,,
"관광,명소",제주탐나라공화국,제주특별자치도 제주시 한림읍 한창로 897,064-772-2878,
,한라산국립공원 어리목탐방로,,,
카페거리,월정리카페거리,제주특별자치도 제주시 구좌읍 월정리 652-4,,
하천,월대천,제주특별자치도 제주시 외도이동 2551,,
동굴,한림공원 협재굴,제주특별자치도 제주시 한림읍 협재리,,
오름,느지리오름,제주특별자치도 제주시 한림읍 상명리 산 5,,
등산로,제주절물자연휴양림 장생의숲길,제주특별자치도 제주시 봉개동 산 78-1,,
동굴,용천동굴,제주특별자치도 제주시 구좌읍 월정리 1837-2,,
드라이브코스,귀덕해안도로,제주특별자치도 제주시 한림읍 한림해안로 738,,
하천,산지천,제주특별자치도 제주시 일도1동,,
자전거여행,김녕성세기해변 인증센터,제주특별자치도 제주시 구좌읍 김녕리 497-4,,
전망대,애월돌고래전망대,제주특별자치도 제주시 애월읍 신엄리 2731,,
드라이브코스,김녕해안도로,제주특별자치도 제주시 구좌읍 김녕리,,
전망대,제주 종달리전망대,제주특별자치도 제주시 구좌읍 해맞이해안로 2196,,
드라이브코스,조천해안도로,제주특별자치도 제주시 조천읍 조천리,,
오름,알오름,제주특별자치도 제주시 구좌읍 종달리 산 13-1,,
문화유적,항파두리 항몽유적지 나홀로나무,제주특별자치도 제주시 애월읍 상귀리 963-1,,
관광안내소,제주웰컴센터,제주특별자치도 제주시 선덕로 23,,
문화유적,연북정,제주특별자치도 제주시 조천읍 조천리 2690,,
유적지,잃어버린 마을 곤을동,제주특별자치도 제주시 화북일동 4440,,
오름,오드싱오름,제주특별자치도 제주시 오등동 1554,,
유원지,제주바다체험장,제주특별자치도 제주시 구좌읍 동복리 608-3,064-784-5757,
테마거리,두맹이골목,제주특별자치도 제주시 일도2동,064-728-4442,
"생태보존,서식지",청수곶자왈,제주특별자치도 제주시 한경면 청수리 산 4,,
산봉우리,원당봉,제주특별자치도 제주시 조천읍 신촌리 산 1,,
자전거여행,함덕서우봉해변 인증센터,제주특별자치도 제주시 조천읍 함덕리 산 14-53,,
자전거여행,다락쉼터 인증센터,제주특별자치도 제주시 애월읍 고내리 462,,
"해수욕장,해변",세기알해변,제주특별자치도 제주시 구좌읍 김녕리 1200-5,,
