오름|큰바리메|제주특별자치도 제주시 애월읍 어음리 산 21||,,
테마파크|제주러브랜드 (휴업중)|제주특별자치도 제주시 1100로 2894-72|064-712-6988|,,
오름|어승생|제주특별자치도 제주시 해안동 산 220-12|064-713-9952|,,
산성,성곽|별방진|제주특별자치도 제주시 구좌읍 하도리 3354|064-728-8662|,
섬|비양도|제주특별자치도 제주시 한림읍 협재리||,,
테마파크|서프라이즈테마파크|제주특별자치도 제주시 조천읍 남조로 2243|064-783-7272|,,
산봉우리|지미봉|제주특별자치도 제주시 구좌읍 종달리 산 3-1||,,
해수욕장,해변|하도해변|제주특별자치도 제주시 구좌읍 하도리|064-728-3394|,
산봉우리|수산봉|제주특별자치도 제주시 애월읍 수산리 산 1-1||,,
숲|동백동산|제주특별자치도 제주시 조천읍 선흘리 산 12|064-784-9446|,,
실내동물원|캐니언파크 제주점|제주특별자치도 제주시 삼무로 51 1층|064-711-1145|,,
해수욕장,해변|검멀레해변|제주특별자치도 제주시 우도면 연평리|064-728-4353|,
관광안내소|한라산 성판악탐방안내소|제주특별자치도 제주시 조천읍 516로 1865||,,
계곡|용연계곡|제주특별자치도 제주시 용담일동 2581-4||,,
해수욕장,해변|종달리해변|제주특별자치도 제주시 구좌읍 종달리 622-5|064-728-7711|,
해수욕장,해변|신창풍차해안|제주특별자치도 제주시 한경면 신창리 1290-2||,
해수욕장,해변|평대리해수욕장|제주특별자치도 제주시 구좌읍 평대리||,
오름|큰노꼬메오름|제주특별자치도 제주시 애월읍 유수암리 산 138||,,
수목원,식물원|방림원|제주특별자치도 제주시 한경면 용금로 864|064-773-0090|,
도보여행|수월봉지질트레일|제주특별자치도 제주시 한경면 고산리 3760||,,
해수욕장,해변|우도산호해변|제주특별자치도 제주시 우도면 연평리|064-728-1527|,
전망대|수월봉전망대|제주특별자치도 제주시 한경면 고산리 3760||,,
해수욕장,해변|엉알해안|제주특별자치도 제주시 한경면 고산리|064-728-7973|,
테마거리|종달리수국길|제주특별자치도 제주시 구좌읍 종달리||,,
먹자골목|흑돼지거리|제주특별자치도 제주시 일도일동 1492-1||,,
섬|차귀도|제주특별자치도 제주시 한경면 고산리 125||,,
관광,명소|송당무끈모루|제주특별자치도 제주시 구좌읍 송당리 2793||,
관광,명소|청굴물|제주특별자치도 제주시 구좌읍 김녕리 1296||,
카페거리|제주카페거리|제주특별자치도 제주시 용담삼동||,,
숲|샤이니숲길|제주특별자치도 제주시 조천읍 교래리 719-10||,,
관광,명소|김경숙해바라기농장|제주특별자치도 제주시 번영로 854-1|064-721-1482|,
오름|궷물오름|제주특별자치도 제주시 애월읍 유수암리 산 136-6||,,
관광안내소|만장굴입구매표소|제주특별자치도 제주시 구좌읍 만장굴길 182||,,
해수욕장,해변|하고수동해변|제주특별자치도 제주시 우도면 연평리|064-728-4352|,
동물원|새별프렌즈|제주특별자치도 제주시 애월읍 평화로 1529|064-794-2828|,,
온천|용두암해수랜드|제주특별자치도 제주시 서해안로 630|064-742-7000|,,
테마파크|금능석물원|제주특별자치도 제주시 한림읍 한림로 176|010-2241-1361|,,
관광안내소|거문오름 탐방안내소|제주특별자치도 제주시 조천읍 선교로 569-36|064-710-8981|,,
오름|민오름|제주특별자치도 제주시 오라이동 산 28-1||,,
해수욕장,해변|몽돌해변|제주특별자치도 제주시 내도동 465-2||,
관광,명소|저지문화예술인마을|제주특별자치도 제주시 한경면 저지14길 28-2||,
관광안내소|산굼부리매표소|제주특별자치도 제주시 조천읍 비자림로 768||,,
관광,명소|조천만세동산|제주특별자치도 제주시 조천읍 신북로 303|064-783-2008|,
문화유적|제주목 관아|제주특별자치도 제주시 관덕로 25||,,
오름|검은오름|제주특별자치도 제주시 연동 산 110-1||,,
드라이브코스|용두암해안도로|제주특별자치도 제주시 용담2동||,,
테마파크|바운스슈퍼파크 제주센터|제주특별자치도 제주시 연사6길 61 1층|070-4647-0559|,,
오름|정물오름|제주특별자치도 제주시 한림읍 금악리 산 52-1||,,
종교유적지|천주교용수성지|제주특별자치도 제주시 한경면 용수1길 108|064-772-1252|,,
사당,제단|산천단|제주특별자치도 제주시 아라일동 375-4||,
오름|문도지오름|제주특별자치도 제주시 한림읍 금악리 3445||,,
테마파크|제주센트럴파크|제주특별자치도 제주시 조천읍 교래리 산 56-4|064-782-7720|,,
계곡|천아계곡|제주특별자치도 제주시 애월읍 광령리 산 183-2||,,
드라이브코스|종달리해안도로|제주특별자치도 제주시 구좌읍 종달리 630-1||,,
테마파크시설|노루생태관찰원|제주특별자치도 제주시 봉개동 산 51-2|064-728-3611|,,
관광안내소|한라산 관음사지구탐방지원센터|제주특별자치도 제주시 산록북로 588||,,
저수지|어승생제2수원지|제주특별자치도 제주시 해안동||,,
오름|당산봉|제주특별자치도 제주시 한경면 용수리 산 28||,,
숲|상가리야자숲|제주특별자치도 제주시 애월읍 상가리 536||,,
관광안내소|한라산 어리목탐방안내소|제주특별자치도 제주시 1100로 2070-61||,,
계곡|무수천|제주특별자치도 제주시 애월읍 광령리||,,
해수욕장,해변|신흥해수욕장|제주특별자치도 제주시 조천읍 신흥리||,
관광,명소|올티스|제주특별자치도 제주시 조천읍 거문오름길 23-58|064-783-9700|,
도보여행|서우봉 산책로|제주특별자치도 제주시 조천읍 함덕리 163||,,
저수지|연화지|제주특별자치도 제주시 애월읍 하가리 1569-2||,,
숲|제주삼나무길|제주특별자치도 제주시 봉개동||,,
오름|쇠머리오름|제주특별자치도 제주시 우도면 연평리 산 23|064-728-4333|,,
온천|부림온천|제주특별자치도 제주시 과원로 70|064-711-4000|,,
테마파크|포레스트사파리|제주특별자치도 제주시 조천읍 선교로 474-1|064-783-0300|,,
자전거여행|용두암 인증센터|제주특별자치도 제주시 용담이동 493-6||,,
관광,명소|비양도망대|제주특별자치도 제주시 우도면 연평리||,
테마거리|누웨마루거리|제주특별자치도 제주시 연동 273||,,
테마거리|칠성로쇼핑거리|제주특별자치도 제주시 일도1동 1296-5||,,
관광농원|개똥이네농장|제주특별자치도 제주시 조천읍 종인내길 133|064-759-0017|,,
수목원,식물원|한림공원 아열대식물원|제주특별자치도 제주시 한림읍 한림로 300||,
관광,명소|오저여|제주특별자치도 제주시 구좌읍 행원리 1-91||,
테마파크|고스트타운|제주특별자치도 제주시 애월읍 부룡수길 35-14|064-748-4245|,,
관광,명소|알작지|제주특별자치도 제주시 테우해안로 60||,
저수지|수산저수지|제주특별자치도 제주시 애월읍 수산리||,,
산봉우리|별도봉|제주특별자치도 제주시 화북일동 4472||,,
해수욕장,해변|알작지해변|제주특별자치도 제주시 내도동 465-2||,
오름|거슨세미오름|제주특별자치도 제주시 구좌읍 송당리 산 145||,,
먹자골목|국수문화거리|제주특별자치도 제주시 일도2동 1050-1||,,
관광,명소|제주탐나라공화국|제주특별자치도 제주시 한림읍 한창로 897|064-772-2878|,
카페거리|월정리카페거리|제주특별자치도 제주시 구좌읍 월정리 652-4||,,
하천|월대천|제주특별자치도 제주시 외도이동 2551||,,
동굴|한림공원 협재굴|제주특별자치도 제주시 한림읍 협재리||,,
오름|느지리오름|제주특별자치도 제주시 한림읍 상명리 산 5||,,
등산로|제주절물자연휴양림 장생의숲길|제주특별자치도 제주시 봉개동 산 78-1||,,
동굴|용천동굴|제주특별자치도 제주시 구좌읍 월정리 1837-2||,,
드라이브코스|귀덕해안도로|제주특별자치도 제주시 한림읍 한림해안로 738||,,
하천|산지천|제주특별자치도 제주시 일도1동||,,
자전거여행|김녕성세기해변 인증센터|제주특별자치도 제주시 구좌읍 김녕리 497-4||,,
전망대|애월돌고래전망대|제주특별자치도 제주시 애월읍 신엄리 2731||,,
드라이브코스|김녕해안도로|제주특별자치도 제주시 구좌읍 김녕리||,,
전망대|제주 종달리전망대|제주특별자치도 제주시 구좌읍 해맞이해안로 2196||,,
드라이브코스|조천해안도로|제주특별자치도 제주시 조천읍 조천리||,,
오름|알오름|제주특별자치도 제주시 구좌읍 종달리 산 13-1||,,
문화유적|항파두리 항몽유적지 나홀로나무|제주특별자치도 제주시 애월읍 상귀리 963-1||,,
관광안내소|제주웰컴센터|제주특별자치도 제주시 선덕로 23||,,
문화유적|연북정|제주특별자치도 제주시 조천읍 조천리 2690||,,
유적지|잃어버린 마을 곤을동|제주특별자치도 제주시 화북일동 4440||,,
오름|오드싱오름|제주특별자치도 제주시 오등동 1554||,,
유원지|제주바다체험장|제주특별자치도 제주시 구좌읍 동복리 608-3|064-784-5757|,,
테마거리|두맹이골목|제주특별자치도 제주시 일도2동|064-728-4442|,,
생태보존,서식지|청수곶자왈|제주특별자치도 제주시 한경면 청수리 산 4||,
산봉우리|원당봉|제주특별자치도 제주시 조천읍 신촌리 산 1||,,
자전거여행|함덕서우봉해변 인증센터|제주특별자치도 제주시 조천읍 함덕리 산 14-53||,,
자전거여행|다락쉼터 인증센터|제주특별자치도 제주시 애월읍 고내리 462||,,
해수욕장,해변|세기알해변|제주특별자치도 제주시 구좌읍 김녕리 1200-5||,
실내동물원|라온쥬|제주특별자치도 제주시 한림읍 월림리 2365 더마파크 내|064-795-8080|,,
관광안내소|제주올레16코스 공식안내소|제주특별자치도 제주시 애월읍 고내리 1103-1|070-4060-0613|,,
동굴|김녕사굴|제주특별자치도 제주시 구좌읍 김녕리 201-4|064-710-7901|,,
드라이브코스|해안도로입구 옹포귀덕|제주특별자치도 제주시 한림읍 한림해안로 23||,,
해수욕장,해변|코난해변|제주특별자치도 제주시 구좌읍 행원리 575-6||,
릉,묘,총|감사공묘역|제주특별자치도 제주시 조천읍 함대로 362||
드라이브코스|월정리해안도로|제주특별자치도 제주시 구좌읍 월정리 652-4||,,
동물원|개똥이동물원|제주특별자치도 제주시 조천읍 종인내길 135|064-759-0017|,,
관광안내소|제주올레19코스 공식안내소|제주특별자치도 제주시 조천읍 조천북6길 44|070-4060-0614|,,
관광,명소|테쉬폰|제주특별자치도 제주시 한림읍 금악리 135||,
탑,비석|복자 김기량 순교현양비|제주특별자치도 제주시 조천읍 일주동로 1216||,
관광,명소|생이기정|제주특별자치도 제주시 한경면 용수리||,
향교,서당|제주향교|제주특별자치도 제주시 서문로 47|064-757-0976|,
숲|편백나무숲|제주특별자치도 제주시 아라일동 산 31-8||,,
관광단지|새별오름관광타운|제주특별자치도 제주시 애월읍 평화로 1529|064-792-6103|,,
오름|세미양오름|제주특별자치도 제주시 아라일동 산 24-2 일대||,,
바위|절부암|제주특별자치도 제주시 한경면 용수리 4241-5|064-728-4235|,,
오름|당오름|제주특별자치도 제주시 구좌읍 송당리 산 199-1||,,
수목원,식물원|비블리아성서식물원|제주특별자치도 제주시 한림읍 조성로 17|064-796-1130|,
계곡|방선문 계곡|제주특별자치도 제주시 오등동||,,
오름|족은노꼬메오름|제주특별자치도 제주시 애월읍 유수암리 산 138||,,
관광농원|귤의 정원 바령|제주특별자치도 제주시 조천읍 선흘리 1396|010-2400-8784|,,
관광안내소|제주올레18코스 공식안내소|제주특별자치도 제주시 관덕로8길 7-9|070-4060-0616|,,
온천|과물노천탕|제주특별자치도 제주시 애월읍 곽지리 1566||,,
산성,성곽|명월성지|제주특별자치도 제주시 한림읍 명월리 2237||,
오름|동검은이오름|제주특별자치도 제주시 구좌읍 종달리 산 70||,,
도보여행|제주대벚꽃길|제주특별자치도 제주시 아라일동||,,
오름|높은오름|제주특별자치도 제주시 구좌읍 송당리 산 213-1||,,
숲|비자림로삼나무숲|제주특별자치도 제주시 구좌읍 송당리 2231-1||,,
문화유적|송당본향당|제주특별자치도 제주시 구좌읍 송당리 산 199-1|064-728-7712|,,
관광,명소|김녕금속공예벽화마을|제주특별자치도 제주시 구좌읍 김녕리 4026||,
테마파크|무병장수테마파크|제주특별자치도 제주시 애월읍 어음13길 196|064-799-7720|,,
사당,제단|오현단|제주특별자치도 제주시 오현길 61||,
관광안내소|제주올레14코스 공식안내소|제주특별자치도 제주시 한경면 저지리 1843-4|070-4060-0611|,,
동굴|도저굴|제주특별자치도 제주시 용담2동||,,
수목원,식물원|우도정원|제주특별자치도 제주시 우도면 연평리 1964||,
관광농원|오등감귤체험관광농원펜션|제주특별자치도 제주시 오등14길 8-15|064-746-4738|,,
오름|천아오름|제주특별자치도 제주시 애월읍 광령리 산 182-1||,,
산봉우리|고내봉|제주특별자치도 제주시 애월읍 고내리 산 3-1||,,
테마거리|도두추억애거리|제주특별자치도 제주시 도두일동||,,
오름|바농오름|제주특별자치도 제주시 조천읍 교래리 산 108||,,
도보여행|별도봉산책로|제주특별자치도 제주시 화북일동 4558||,,
도보여행|수산봉둘레길|제주특별자치도 제주시 애월읍 구엄리||,,
오름|돛오름|제주특별자치도 제주시 구좌읍 송당리 산 3||,,
산성,성곽|북촌환해장성|제주특별자치도 제주시 조천읍 북촌리 1330||,
오름|가마오름|제주특별자치도 제주시 한경면 청수리 1202-1||,,
관광,명소|월령코지|제주특별자치도 제주시 한림읍 월령리||,
광장|탐라문화광장|제주특별자치도 제주시 일도1동 1146-22||,,
테마거리|왕벚꽃거리|제주특별자치도 제주시 애월읍 장전리 1167-9||,,
자전거여행|해거름마을공원 인증센터|제주특별자치도 제주시 한경면 판포리 1608-4||,,
오름|절물오름|제주특별자치도 제주시 봉개동 산 78-1||,,
유적지|선인장자생지|제주특별자치도 제주시 한림읍 월령리||,,
오름|누운오름|제주특별자치도 제주시 한림읍 금악리 198-15|064-740-6000|,,
오름|과오름|제주특별자치도 제주시 애월읍 곽지리 산 4||,,
오름|광이오름|제주특별자치도 제주시 연동 산 62||,,
오름|어도오름|제주특별자치도 제주시 애월읍 봉성리 3920-35||,,
샘터,약수터|중엄새물|제주특별자치도 제주시 애월읍 신엄리||,
저수지|용수저수지|제주특별자치도 제주시 한경면 용수리||,,
관광,명소|관곶|제주특별자치도 제주시 조천읍 신흥리||,
유적지|진아영 할머니 삶터|제주특별자치도 제주시 한림읍 월령1길 22||,,
생태보존,서식지|납읍난대림지역|제주특별자치도 제주시 애월읍 납읍리 1457-1||,
오름|우진제비오름|제주특별자치도 제주시 조천읍 선흘리 산 112||,,
관광안내소|제주올레21코스 공식안내소|제주특별자치도 제주시 구좌읍 상도리 471-43|070-4060-0615|,,
드라이브코스|표선~세화해안도로|제주특별자치도 제주시 구좌읍 하도리||,,
오름|안세미오름|제주특별자치도 제주시 봉개동 산 2||,,
관광농원|새미동산|제주특별자치도 제주시 조천읍 종인내길 133|064-759-0017|,,
샘터,약수터|한라산 성판악입구약수터|제주특별자치도 제주시 조천읍 교래리||,
관광,명소|창고망난돌|제주특별자치도 제주시 조천읍 북촌15길 15||,
관광,명소|쇠물깍|제주특별자치도 제주시 조천읍 신흥리 59-10||,
오름|민오름|제주특별자치도 제주시 봉개동 산 64 일대||,,
