분류,이름,주소,전화번호,대표사진주소
"찌개,전골",돌하르방뚝배기,제주특별자치도 서귀포시 성산읍 일출로 264,064-784-6888,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB49DC7F98C5F456694595EE0599F7864,"
회,성산일출봉 아시횟집,제주특별자치도 서귀포시 성산읍 성산등용로 19,010-7180-3987,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F179581E9C60E49AF9D0B31A3EAE1047B,,"
"해물,생선",해촌,제주특별자치도 서귀포시 성산읍 일출로 220,064-784-8001,","
"해물,생선",중섭이네식당,제주특별자치도 서귀포시 이중섭로 19,064-763-7703,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC68E01A452964C348802EE5A6576B66D,"
한식,대포칼제비,제주특별자치도 서귀포시 중문관광로 338,064-739-1666,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF087F68DD4084EE0907A57BCAB633E8B,,"
회,우정회센터 2호점,제주특별자치도 서귀포시 중앙로54번길 38,064-732-0303,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F86F4D49236004220856DA4C4B1CB2D33,,"
해장국,가마솥다올터해장국,제주특별자치도 서귀포시 동문동로 6,064-732-6161,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE0CA45297E29464788E894B472985E05,,"
국밥,안동본가국밥 서귀포점,제주특별자치도 서귀포시 월드컵로 18-1,064-738-0399,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC4F12C5A972A442FAFA4191EB763F9E4,,"
한식,해마루,제주특별자치도 서귀포시 성산읍 일출로 84,064-782-1150,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F35E9576701D447278BD537B1BCD17F36,,"
"육류,고기",월드컵흑돼지,제주특별자치도 서귀포시 월드컵로 74,064-738-3292,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0286C1704F11483DB06C1A1CDFD29F77,"
"매운탕,해물탕",정희네해물탕,제주특별자치도 서귀포시 중정로 14 1층,064-733-1998,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F961EE84E3A5B400EB7BEE59B7BED7C9C,"
"육류,고기",돈다발,제주특별자치도 서귀포시 성산읍 성산중앙로 48,064-784-5592,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F40DADE43E376426998C166494E0BC798,"
국수,바당칼국수,제주특별자치도 서귀포시 안덕면 형제해안로 22,064-792-2684,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F14D2766E5BB542FDAB318CF0DE8A5486,,"
갈비,탐궁,제주특별자치도 서귀포시 월드컵로 32,064-739-8944,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3A0AA3D2D2EE4F28A99D44B6C483DCF4,,"
"해물,생선",명물식당,제주특별자치도 서귀포시 안덕면 난드르로 82,064-738-0433,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5E100AA352D746A78CD781E81C640C10,"
한식,미소녀,제주특별자치도 서귀포시 성산읍 고성중앙로 88,064-784-0019,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F27CB89C669454FE788DA6C4CCB612CDE,,"
"육류,고기",피그농원 제주점,제주특별자치도 서귀포시 대정읍 일주서로 2641,064-792-8075,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F32752E6BD8DB4599AFBE4EFF01427E82,"
"육류,고기",한라식당,제주특별자치도 서귀포시 표선면 성읍정의현로22번길 8,064-787-2026,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDBB8446944AE497A9E3F05F3360C34E4,"
한식,성산회관,제주특별자치도 서귀포시 성산읍 성산중앙로 8,064-783-8448,",,"
"육류,고기",오름채,제주특별자치도 서귀포시 성산읍 중산간동로 4255 시동 1층,064-783-1122,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F718F2A4AC06946CB827004DCD381EBDC,"
"불고기,두루치기",달팽이식당,제주특별자치도 서귀포시 안덕면 일주서로 1322-3 1층,064-792-7574,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3015FA7DDCAB42E2AB4AA7C353488FBD,"
"해물,생선",만미식당,제주특별자치도 서귀포시 안덕면 사계남로 155,064-794-0081,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC56449CE95AB4FD4B6932EFAF8127609,"
"족발,보쌈",황칠족발,제주특별자치도 서귀포시 대정읍 최남단해안로 20 2층,064-792-5882,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F86FBD3083CE44A2A80FB95435FA6576A,"
회,제주마루,제주특별자치도 서귀포시 성산읍 신양로 116,064-783-0222,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2ABC63CF24054BDA88419A667FB017F2,,"
"육류,고기",제주흑돼지신화,제주특별자치도 서귀포시 안덕면 한창로 628 1층,064-794-9289,","
"해물,생선",운정이네 본점,제주특별자치도 서귀포시 중산간서로 726,064-738-3883,","
국수,제주돌하르방밀면,제주특별자치도 서귀포시 중문관광로 331,064-739-0023,",,"
"육류,고기",제주흑돈세상수라간 표선점,제주특별자치도 서귀포시 표선면 표선당포로 23 1층,064-787-8588,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3623E25700F94FA0BA2CA511382C42E7,"
한식,바람에머물다,제주특별자치도 서귀포시 하효중앙로 5,010-9076-2675,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F9668679370FC4D51B7146A4EEC568BB6,,"
"해물,생선",제주할망뚝배기,제주특별자치도 서귀포시 칠십리로 92,064-733-9934,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3BF5F067E0D648C38C77141FD9B17974,"
한식,돈사향,제주특별자치도 서귀포시 천지로 20 1층,064-763-6900,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2Fa42b08f40c3a524898718c432e868e9fe49375fa,,"
회,중문회어시장,제주특별자치도 서귀포시 색달로 1,064-739-7774,",,"
국수,대정고을식당,제주특별자치도 서귀포시 대정읍 일주서로 2258,064-794-8070,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1569E30E8FDD4EF0B483141B81128119,,"
해장국,장가네 해장국,제주특별자치도 서귀포시 중문상로17번길 4,064-739-5508,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC8F1E42A22404908991A297F60B036E0,,"
한식,어머니와장독대 서귀포점,제주특별자치도 서귀포시 중앙로101번길 27,064-762-1233,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6F5C2901DF354DE28CFC9E4B8841911C,,"
회,용림식당,제주특별자치도 서귀포시 안덕면 사계남로 170-1,064-794-3652,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0CC31ED52C9842B989538448C1687CF0,,"
국수,성산봄죽칼국수 성산점,제주특별자치도 서귀포시 성산읍 해맞이해안로 2725 1층,064-782-7075,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1F6823187C8943048C4D146B74F70356,,"
"해물,생선",삼다해물뚝배기,제주특별자치도 서귀포시 일주동로 8167,,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF1B83030C0E14F979597892828800D4C,"
한식,성산진미식당,제주특별자치도 서귀포시 성산읍 일출로 290,064-783-2283,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7C39F38925F94C18AEF99A9450BA9CB7,,"
회,형아시횟집,제주특별자치도 서귀포시 이어도로 778-1 1층,064-739-4187,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBAEE4842A8714C3889BF74FBEF789A87,,"
한식,보말과풍경,제주특별자치도 서귀포시 대정읍 하모중앙로 17 1층,064-792-5400,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2294D32008214ACC85F365B49205407A,,"
국수,국수몽,제주특별자치도 서귀포시 천제연로207번길 1,064-738-1998,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD0648C9FEC944F5182CC7A54F1274691,,"
"해물,생선",중문조림식당,제주특별자치도 서귀포시 천제연로 170,064-738-2139,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDC80B4259DD34B3FBE11C009BA8E07CC,"
해장국,백년해장국 성산점,제주특별자치도 서귀포시 성산읍 고성오조로 137,064-784-5522,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0A113E9D7F4F4ED995E6EDD3DCA1BA0F,,"
"불고기,두루치기",새서울두루치기,제주특별자치도 서귀포시 태평로 406,064-732-4211,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF013A4E686F24F4395A671D0C2564AD8,"
회,해송수산물회센타 중문점,제주특별자치도 서귀포시 천제연로 163 1층,064-739-8688,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7AB85569D2174AAFBDDC95EE71817BE2,,"
"사철탕,영양탕",흑염소마루,제주특별자치도 서귀포시 남원읍 태위로663번길 1-1,064-764-6678,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F03C74952CD3C4BFF8FB9F775817D6F4C,"
회,부두회수산,제주특별자치도 서귀포시 칠십리로 94 1층,064-763-0018,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0A8A7185295047DD8FF0EB8A7FFC926F,,"
회,황금어장,제주특별자치도 서귀포시 중앙로48번길 14,064-763-4418,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F64A8C57ADB934759A880FE3195917E3C,,"
"매운탕,해물탕",고서방해물탕,제주특별자치도 서귀포시 대정읍 형제해안로 282,064-794-5678,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC4EC9C64265D4BEFA2EC42F6C3790DD0,"
갈비,명호마농갈비 중문점,제주특별자치도 서귀포시 중문관광로 289,064-738-8985,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB0BBBE28F1844728AEB76C03A4599635,,"
닭요리,희신이네,제주특별자치도 서귀포시 서홍로 175,064-762-0335,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0641FC4F8EF84E96AA61DD1C11CE24C3,,"
해장국,서귀포장수해장국,제주특별자치도 서귀포시 신서귀로51번길 11,064-739-4161,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5B6055944B9641E0ACDBDC6EA541595D,,"
"해물,생선",덕성식당,제주특별자치도 서귀포시 안덕면 사계남로 145,064-794-9707,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCB4257FC47F04B94843350CC9AA1D750,"
한식,서광우리집식당,제주특별자치도 서귀포시 안덕면 녹차분재로59번길 8,064-794-2601,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F76875C3F178B4FE88690DC3CB0D4E0FD,,"
국수,면맛에입맛이좋아,제주특별자치도 서귀포시 성산읍 수시로10번길 30,064-784-0178,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB701A42F1F7947A495D97DA9D35420B5,,"
"해물,생선",뻘떡낙지 서귀포점,제주특별자치도 서귀포시 이어도로 1059 1층,064-900-0223,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8509DAD22E4E4FEE812E86501DEFFBD5,"
"해물,생선",쇠소깍오메기식당,제주특별자치도 서귀포시 일주동로 8231,064-732-5599,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4A8D895794384111BDA394EAA8749FC5,"
닭요리,삼거리농원,제주특별자치도 서귀포시 안덕면 사계남로 235,064-792-0636,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0AA9E80D6A3E415384CFAE2A9F5F21E9,,"
"육류,고기",중문솥뚜껑,제주특별자치도 서귀포시 이어도로 81,064-738-8131,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F92FEC03705D24A2D921C1017256C8162,"
닭요리,어머니닭집,제주특별자치도 서귀포시 성산읍 고성오조로 13,064-782-4832,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEF50CBBC3F8C4EF59CAE3A854798ACB2,,"
회,알토산회센터,제주특별자치도 서귀포시 표선면 일주동로 6431-1,064-787-5864,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF4CF3E214CCD4D9882512BBED22EEDC8,,"
"육류,고기",문치비 아랑조을거리점,제주특별자치도 서귀포시 태평로353번길 12,064-762-0823,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD27F936E3A554E30AD79BEC740A1547E,"
회,성산수산식당,제주특별자치도 서귀포시 성산읍 성산중앙로 29,010-2696-7693,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD0033B8CD9194367991E8A880FFE83F3,,"
"족발,보쌈",군족,제주특별자치도 서귀포시 서호남로32번길 48,064-739-9266,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F771EAAC24EDD440FB558010449914396,"
회,표선1번회센타,제주특별자치도 서귀포시 표선면 표선중앙로 103,064-787-7277,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3052EB3CDF994C5FB3042650A4A8C957,,"
한식,보람식당,제주특별자치도 서귀포시 성산읍 일주동로 4697,064-782-2787,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F06669BAA12F24FD0827CBAEEA6342970,,"
국수,청송고기국수,제주특별자치도 서귀포시 동홍로 8,064-762-7955,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F58FDB8CDB91143A08C694CA2236AEFD3,,"
"육류,고기",날씬흑돼지,제주특별자치도 서귀포시 안덕면 사계로114번길 54-62 2층,070-8900-8737,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_189865969,"
"굴,전복",돌섬,제주특별자치도 서귀포시 성산읍 한도로 109,,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7845805C25B8422BA6791ED2FDACAB0F,"
회,성산포수협활어회센터,제주특별자치도 서귀포시 성산읍 성산등용로 91 3층,064-782-3165,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE9342A6EE0094AE29DB359999446ECE1,,"
"해물,생선",섬사랑,제주특별자치도 서귀포시 남성중로 2-3,064-784-8382,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F32B28C77506D490FB002CE3369B5101F,"
"육류,고기",서귀포축협 흑한우명품관,제주특별자치도 서귀포시 일주동로 8421,,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8C4CE60EB205447A91412A5DEDBEB8B6,"
"육류,고기",삼수정,제주특별자치도 서귀포시 성산읍 동류암로 45,064-782-2146,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1FA427916C1E4BC6A150DBA06842625F,"
한식,고향생각 본점,제주특별자치도 서귀포시 동문동로 15 1층,064-739-8009,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F06BD08A52E4541748C4EB899FD44949D,,"
"해물,생선",성산갈치맛집,제주특별자치도 서귀포시 성산읍 한도로 90,064-782-7799,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1951886880,"
"육류,고기",도가촌,제주특별자치도 서귀포시 동홍동로 39,064-763-2009,","
국수,서귀포고기국수,제주특별자치도 서귀포시 소암로12번길 21,,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F215CACCB5F374EB9AB334BC2F6A87E41,,"
"육류,고기",흑사돈 표선점,제주특별자치도 서귀포시 표선면 표선동서로 269,064-787-7214,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC53A7B9C80D143F4B4F5ABB77D8DEF1D,"
회,보물섬횟집,제주특별자치도 서귀포시 칠십리로 105,064-732-0009,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4B99572BEC33439A944E3985E861D157,,"
회,올레길회센타,제주특별자치도 서귀포시 안덕면 화순재남로 5,064-792-1156,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5D8D2633EC244EEB896BE02FF5D8111F,,"
"육류,고기",탐라식당,제주특별자치도 서귀포시 표선면 성읍정의현로 116,064-787-0007,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCF075CBE983E46DF8BBD68515C171E8C,"
"육류,고기",처가집연탄구이,제주특별자치도 서귀포시 하신상로 12,064-767-5005,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F634FC79C993A4309B65C939E7A44B62D,"
한식,장수상회,제주특별자치도 서귀포시 표선면 성읍정의현로22번길 20-1,010-9914-4746,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE02344C679B542B598D18659472505C3,,"
"육류,고기",봉기네깡통구이,제주특별자치도 서귀포시 성산읍 고성오조로 38,064-782-1165,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F546E779F64B446B985BD3E0135C449B1,"
회,올레수산회센타,제주특별자치도 서귀포시 중정로61번길 12,064-732-4971,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F14D3B5F28C5C43B5A3A98D6BF1B827F8,,"
햄버거,제주판타스틱버거,제주특별자치도 서귀포시 표선면 토산중앙로15번길 6,0507-1339-6990,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8E7A656C5BCB422D9C1BE6C5BBBC7F60,,"
햄버거,88버거,제주특별자치도 서귀포시 동문로 63,064-733-8488,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FDFC09A1C6FD04830BAB7BB6E49EA68B0,,"
양식,글라글라하와이,제주특별자치도 서귀포시 대정읍 하모항구로 70,064-792-2737,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1F35B651A7174ADCBC011F7EE30FD10F,,"
양식,센트로,제주특별자치도 서귀포시 태평로 449 1층,070-8614-6245,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAEC20543597F45379A6BD23DCF4F5A4A,,"
이탈리안,휘닉스제주섭지코지 민트레스토랑,제주특별자치도 서귀포시 성산읍 고성리 46 글라스하우스 2층,064-731-7773,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5629FB9CB0DB40F0AE1BBDE360A21B13,,"
해산물,자연스러운식당,제주특별자치도 서귀포시 태평로92번길 8,0507-1306-8702,",,"
양식,윌라라,제주특별자치도 서귀포시 성산읍 성산중앙로 33,0507-1404-5120,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F32379F101E284B298FCBFE8B6581540E,,"
양식,올레안뜰,제주특별자치도 서귀포시 법환로 24,064-738-7720,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDDD2DE49E01A46988109B8661F2DC2AC,,"
햄버거,꽃담수제버거,제주특별자치도 서귀포시 성산읍 일출로 284-7,064-782-0761,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FEADD0DA023B14E58B0B3653F3E65212D,,"
이탈리안,페를로,제주특별자치도 서귀포시 안덕면 덕수회관로74번길 33 1층,,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F475633CB3B9842FB9E4438811D8AE499,,"
이탈리안,환이네이태리식당,제주특별자치도 서귀포시 안덕면 사계중앙로18번길 5,070-7788-8686,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC0B2E70D12044099B0ED5EAD1CA699CD,,"
양식,함쉐프키친,제주특별자치도 서귀포시 대포중앙로 116,064-739-1142,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6BE2111A8B1B45BC9A3144F6F0537D3A,,"
피자,피제리아3657,제주특별자치도 서귀포시 안덕면 난드르로 56,064-738-3658,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F3c1c8c038878fca00d8ccc32ae638c5d2e3cbfd8,,"
햄버거,웨이브,제주특별자치도 서귀포시 표선면 표선당포로 10-4 3층,064-900-9171,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F98AB50F305184DD2AD1FD8620A23EB27,,"
이탈리안,하례정원,제주특별자치도 서귀포시 남원읍 하례망장포로 39,064-733-1337,",,"
양식,봉유,제주특별자치도 서귀포시 안덕면 중산간서로 1817,064-794-3206,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FDB66048CDFD742C1966134FF69EF5072,,"
양식,만월당,제주특별자치도 서귀포시 남원읍 남원체육관로 191,064-764-2334,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE611C97440224D0D8336FE0A27F103B4,,"
이탈리안,까사디노아,제주특별자치도 서귀포시 안덕면 대평로 42,064-738-1109,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FCDC73F1B856E4FCEAD0E4096E1493A75,,"
양식,포도호텔 레스토랑,제주특별자치도 서귀포시 안덕면 산록남로 863 1층,064-793-7030,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F20B8205E0EA5459C8E379BD756801F13,,"
이탈리안,빌레왓,제주특별자치도 서귀포시 안덕면 화순서동로 14,064-794-3939,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE2E2C7787299404CABE91F394B1237BA,,"
양식,비오토피아 레스토랑,제주특별자치도 서귀포시 안덕면 산록남로762번길 79,064-793-6030,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA90F7241C8D44117A41D48122B7A39DB,,"
"멕시칸,브라질",마가리따은혜씨,제주특별자치도 서귀포시 성산읍 일출로 258-11 2층,,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F311601109FD143BB9C911D180701C978,"
이탈리안,비스트로낭,제주특별자치도 서귀포시 안덕면 일주서로 1479 1층,0507-1419-2933,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBBEBEA42FE1C4D418D30B8F754EAF09E,,"
햄버거,몰마농,제주특별자치도 서귀포시 성산읍 환해장성로 929,010-6346-7906,"//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F6E5D526BB56A48849677FF536C01E57D,,"
