카페,하와이안비치로스터리카페,제주특별자치도 서귀포시 성산읍 신양로122번길 57 2층,010-2208-3333,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1548703290
카페,안나카페,제주특별자치도 서귀포시 말질로 282 1층,010-7373-9979,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1884529136
카페,산티아고가는길 남원점,제주특별자치도 서귀포시 남원읍 한신로 197,064-764-6131,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_797562350
카페,카페그림같은풍경,제주특별자치도 서귀포시 대정읍 노을해안로 602,064-794-6655,
카페,랍다즐겁다,제주특별자치도 서귀포시 태평로 34-17,010-9553-7276,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F18A29F3853CD4936992644485EE441EF
카페,싱그러우니,제주특별자치도 서귀포시 일주서로 1287-1,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDEA365038ED941D3ADB05843CAEDBCB7
카페,카페 공드리,제주특별자치도 서귀포시 성산읍 수시로10번길 3,010-3388-6358,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC64926A62CC845F8AA659D79F9F6065E
카페,카페141,제주특별자치도 서귀포시 남원읍 태신해안로 227-3,010-5281-7654,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F90BF48A2E91E49CD8E0709A62695A117
북카페,그림책카페노란우산,제주특별자치도 서귀포시 안덕면 녹차분재로 32,064-794-7271,
카페,에어그라운드,제주특별자치도 서귀포시 남원읍 남태해안로 439,,
카페,오리프,제주특별자치도 서귀포시 남원읍 태위로 255,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB169EEDC5BD043B387C841DC4298EE0C
카페,카페비아라테,제주특별자치도 서귀포시 안덕면 중산간서로 2093,010-3702-2589,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FCF60EE922D634736A4103344853713A0
디저트카페,갈치카페,제주특별자치도 서귀포시 중문관광로 27 1층,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F81C5E6D17F524473800988725CC446A9
카페,캐롤,제주특별자치도 서귀포시 효돈로 137-1 1층,0507-1344-4336,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A3E518781784C07A02AEB983CB1A65E
커피전문점,투썸플레이스 제주쇠소깍점,제주특별자치도 서귀포시 쇠소깍로 134 2층,064-732-0756,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD7BD3C56E61548C3A1E206C820FCB304
카페,돌토고리카페,제주특별자치도 서귀포시 표선면 표선당포로 16-4,064-787-9400,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F71343CDEB4574B5389A0860A17011255
디저트카페,프리튀르,제주특별자치도 서귀포시 안덕면 중산간서로 1810,064-794-1810,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_921316755
카페,모슬포정미소,제주특별자치도 서귀포시 대정읍 하모중앙로 57-3 1층,010-8692-4692,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF5DD0682D17640D2BD39A321C44A8A31
카페,마더카페,제주특별자치도 서귀포시 남원읍 태위로894번길 45,064-764-8233,
디저트카페,제주설심당 모슬포점,제주특별자치도 서귀포시 대정읍 신영로 73 2층,064-792-4207,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA86401B5BDB342AE89F6517FD4CD548C
카페,썬샤인워크,제주특별자치도 서귀포시 소보리당로 40-4 1층,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE23DC0D3B7144FEC874EA9B7A88C8872
카페,우아당,제주특별자치도 서귀포시 이어도로 986-1 2층,064-739-4861,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4D2047CD99564C818B98858E3895469D
생과일전문점,리치망고 대정점,제주특별자치도 서귀포시 대정읍 최남단해안로 95,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1F39D7AE76B540A283687BEC93273746
디저트카페,성산해나,제주특별자치도 서귀포시 성산읍 성산중앙로 30-1,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1031158567
카페,날외15,제주특별자치도 서귀포시 대정읍 일과대수로 15,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F4222BD47F4CA4FC3BCF339888536D7CB
커피전문점,까떼커피,제주특별자치도 서귀포시 표선면 민속해안로 594,064-787-8708,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4815C0AE044843DC9084BF59C87E4683
카페,루프탑,제주특별자치도 서귀포시 중앙로4번길 11,,
카페,인디고트리,제주특별자치도 서귀포시 남원읍 하례망장포로 4,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD3B760B14CE9417FB4B8305D5F621DDD
카페,카페논짓물,제주특별자치도 서귀포시 예래해안로 253,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F44F628D1E46A4901A6A86BA88166C9A5
디저트카페,토닥토닥카페,제주특별자치도 서귀포시 표선면 일주동로 6473,064-787-5878,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F75E03C262B924896B6BBC26D029C6B81
디저트카페,더심플,제주특별자치도 서귀포시 서호남로32번길 10-6,064-738-3382,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F581437AAC66D4516940DA672A6A6D796
카페,고성리안,제주특별자치도 서귀포시 성산읍 고성동서로 67,064-782-4945,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDCE4F24125994633B755D5342DA673B6
전통찻집,선재다원,제주특별자치도 서귀포시 표선면 성읍민속로 148,010-3692-1232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F89E37A08779641E892250BC81AE2061B
카페,앤더스제주,제주특별자치도 서귀포시 대정읍 서삼중로 100,064-792-5786,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0E64AF03B9A447E5A0BD2BAD74C31EF2
커피전문점,수복커피,제주특별자치도 서귀포시 중앙로101번길 7,064-732-4747,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F03B3B5B9C70E4542B2E01DAC7545D1E1
카페,블랑드오조,제주특별자치도 서귀포시 성산읍 오조로80번길 18,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FADDABC201BB1484A9EE6D426868A676C
카페,카페움,제주특별자치도 서귀포시 호근서호로 63,010-9262-7999,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBB94BB9BE090441BA62BAF26BD9E3FCC
카페,카페아띠,제주특별자치도 서귀포시 일주서로 332-3,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC6C8B87BA4A240D8930E67F121355211
카페,나인브로스커피,"제주특별자치도 서귀포시 대정읍 중산간서로 2595 1층 101,102호",070-4242-5912,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F40E0F1096303478E86792E46496D1A7B
카페,플루메리아,제주특별자치도 서귀포시 법환로38번길 8-2,064-900-3030,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F268B8F499632465AAE943ECBB553F239
카페,보스코,제주특별자치도 서귀포시 대정읍 동일하모로 217,064-792-8090,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F013EDC7F60AB4E22BF103D1DC322FED2
커피전문점,이디야커피 제주남원점,제주특별자치도 서귀포시 남원읍 남태해안로 135,064-764-0977,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFBF17FB684084C6EA0112DC1EA5497BC
카페,사사일,제주특별자치도 서귀포시 대정읍 무영로254번길 17,0507-1389-0515,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD6C0CE63106B46A0A8D12D9C6ED5F1C5
카페,솔루나카페&펍,제주특별자치도 서귀포시 막숙포로 116,0507-1368-7235,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6B32C53271F44608B6DB67DBBF45FCB1
갤러리카페,모드락572,제주특별자치도 서귀포시 표선면 가시로 572,064-787-5827,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8B7731DDBBE5424B931D07C193EAF1EA
커피전문점,투썸플레이스 제주영어도시점,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370 1층,064-792-6555,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F6C3A8DB40C05446E9E1B056ACEDD6032
카페,카페물썹,제주특별자치도 서귀포시 성산읍 신천동로 130-29 2층,064-787-7900,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F714636E6456C40AE83C56A25A669091E
카페,당포로나인카페앤브런치,제주특별자치도 서귀포시 표선면 표선당포로 9,070-4548-8285,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F86566A07BC0A43B59D3310C4793AD6F8
카페,카페우다(휴업중),제주특별자치도 서귀포시 이어도로 573 2층,0507-1362-4343,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F856CFBFB5E3441AC891F796D248C9E83
만화카페,콩툰 제주동홍점,제주특별자치도 서귀포시 동홍중앙로 49 5층,064-763-7506,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB1DD071CDADF4ABA8582EF9CE8D0C4E9
카페,다정하다,제주특별자치도 서귀포시 문부로 8 1층,070-8864-1229,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_697504910
커피전문점,가파도봄날에,제주특별자치도 서귀포시 대정읍 가파로67번길 47-2,,
카페,카페1950,제주특별자치도 서귀포시 중문관광로 90 1층,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F39872F0ED980420EA06A52F1A5F92ABD
북카페,북살롱이마고,제주특별자치도 서귀포시 표선면 세화강왓로 78,064-787-3282,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F08C5D14BAE7648D0BE43E9B43B61603F
카페,제주신라호텔 바당,제주특별자치도 서귀포시 중문관광로72번길 75 제주신라호텔 6층,064-735-5587,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE112A71D29334257B16DDA088CEAC82B
카페,넘버138,제주특별자치도 서귀포시 쇠소깍로 138,,
카페,글라스월평,제주특별자치도 서귀포시 월평로 31-2,0507-1344-9220,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FEA5504183C12486F80D0FBBE5BE6244F
커피전문점,투썸플레이스 제주신화빌라스점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 139 신화빌라스 한국스퀘어 1층,064-792-6440,
디저트카페,베이커리카페70,제주특별자치도 서귀포시 소암로 33 1층,064-733-7077,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3F041DAE4A764231B2111D033F429DF2
카페,썬샤인코스트,제주특별자치도 서귀포시 남성로 116,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE5FB683753424B4D93E44C000A56AB68
카페,민트카페&스튜디오,제주특별자치도 서귀포시 성산읍 고성리 46 1층,064-731-7571,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7BFD110BE4E4417D894123A83EF0B6EB
카페,매일더탐나,제주특별자치도 서귀포시 표선면 일주동로6455번길 9,064-787-0444,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F676FA02EA9984747832107738A32002D
카페,가배미,제주특별자치도 서귀포시 동홍로 298,064-763-0375,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F80279D999FED4DB7B5CD5D719B69FDC9
커피전문점,카페록키,제주특별자치도 서귀포시 일주동로 9117 1층,010-9048-6450,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC0DA070A10F04979B8232DB8F9B82CAE
커피전문점,빽다방 제주성산일출봉점,제주특별자치도 서귀포시 성산읍 일출로 280-4 1층,064-782-0303,
카페,카페모먼트,제주특별자치도 서귀포시 표선면 가시로592번길 25,010-7687-8288,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F266D2F8DD74940B39650EE36FC425EE1
디저트카페,설빙 서귀점,제주특별자치도 서귀포시 이중섭로 4-1 2층,064-732-7797,
카페,카페커피메딕,제주특별자치도 서귀포시 이어도로 61,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F569E872EEED64FA3AAE5CEAA8D697202
카페,이정의댁,제주특별자치도 서귀포시 예래로144번길 22-1,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F149890F00CEC4982B4085979CBF86CE3
커피전문점,터틀락,제주특별자치도 서귀포시 안덕면 한창로110번길 44,010-2256-6072,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1B37E0E38A5C487AA7B6BC026B69A49E
카페,혼고뜨로,제주특별자치도 서귀포시 성산읍 한도로 137,064-782-5202,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0AC82F1A31034295A65A7C8A5104563A
카페,둘치스라운지,제주특별자치도 서귀포시 안덕면 덕수회관로 107,0507-1377-3381,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1351621570
커피전문점,투썸플레이스 제주모슬포점,제주특별자치도 서귀포시 대정읍 최남단해안로 44,064-792-0018,
카페,카페돗돗헌,제주특별자치도 서귀포시 표선면 표선리 40-1,064-787-4502,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE8202A1E0BEA41A0BC26E4A37813F5CB
디저트카페,디저트팩토리 쇠소깍점,제주특별자치도 서귀포시 효돈순환로 217-3 1층,064-763-6226,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB46CA1BDD59F44E892DEAECDBEEE4BD7
커피전문점,제이문커피,제주특별자치도 서귀포시 천제연로 172-3 2층,064-739-1723,
카페,대낭굴,제주특별자치도 서귀포시 대정읍 최남단해안로 433,064-755-3213,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F74A8ACCB0B62496BA00FFFE04CD88900
카페,화순별곡,제주특별자치도 서귀포시 안덕면 화순해안로 62,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0B00B0652CC24D9F8AE916C160066FCD
카페,제주펫,제주특별자치도 서귀포시 남원읍 한신로531번길 22-3 제주펫,064-764-7888,
전통찻집,차뜨락,제주특별자치도 서귀포시 대정읍 신영로36번길 71,064-792-4701,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0765E40F7E17473B8C3E370F12A45B01
떡카페,제주의봄,제주특별자치도 서귀포시 신북로 16 1층,064-738-1007,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE392D4181B3B4003A6ABFD31144FFE9C
카페,카페 준,제주특별자치도 서귀포시 솔동산로22번길 15-3,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC80B2411FD7546C8A321BCA4C7DAD760
카페,라떼카페,제주특별자치도 서귀포시 남원읍 남태해안로 75-5,064-764-8746,
카페,클로리스 제주 성산일출봉점,"제주특별자치도 서귀포시 성산읍 성산등용로17번길 55 C zone 95,96호",064-783-0037,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1979387817
커피전문점,메가커피 서귀포중앙점,제주특별자치도 서귀포시 중앙로 56,064-733-0704,
테마카페,귤사랑,제주특별자치도 서귀포시 호근북로 173,0507-1337-9956,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1511720594
커피전문점,일출뷰브런치카페,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660 1층,010-7941-4172,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF84B3327A4014ECB88FA22427CC97B80
카페,스텔베이커리까페,제주특별자치도 서귀포시 대정읍 전세비로 20-76 2층,010-2696-6747,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_596286250
카페,율커피,제주특별자치도 서귀포시 남원읍 태위로 507 1층,064-764-0078,
디저트카페,봄뜨랑,제주특별자치도 서귀포시 성산읍 고성동서로56번길 15 1층,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F23C7CF8A2AE445E89C32AD55B5D5D585
디저트카페,카페라향,제주특별자치도 서귀포시 남원읍 태위로700번길 11,010-4151-0471,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1164581905
카페,시간당킬로미터,제주특별자치도 서귀포시 신동로67번길 11,064-739-2707,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD019DF654E5647A88037F5477D1DED4F
카페,대정로스터리카페,제주특별자치도 서귀포시 대정읍 인성로25번길 5-1,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F53745DECDA4C4AD084429B0173ABCD34
카페,비브레이브 서호점,제주특별자치도 서귀포시 신서로48번길 66,,
커피전문점,유동커피로맨틱무드,제주특별자치도 서귀포시 보목로 21-11,064-762-6626,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F474FC6712047447EB6487A4ACF1EB2C4
커피전문점,방듸,제주특별자치도 서귀포시 성산읍 섭지코지로 48,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2316AB37568C88B501
카페,카페만감교차,제주특별자치도 서귀포시 성산읍 환해장성로 950,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1766629242
카페,제주카펜터(감귤따기체험),제주특별자치도 서귀포시 중산간서로356번길 42 1층,010-8661-6122,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1B848FBCB54B44659822FC08242109BA
카페,엉커리,제주특별자치도 서귀포시 일주서로176번길 43,064-732-2229,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F3308768b55890178ff06853fbed10c7068027c30
카페,느영나영초가집,제주특별자치도 서귀포시 남원읍 태위로 483,064-764-5656,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1403554122
커피전문점,스틸네거티브클럽,제주특별자치도 서귀포시 동홍남로82번길 14-10 1층,010-4209-6020,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1012534458
커피전문점,빽다방 제주동광육거리점,제주특별자치도 서귀포시 안덕면 신화역사로 502 1층,064-794-0060,
카페,노을과어울림,제주특별자치도 서귀포시 대정읍 노을해안로 638,070-8807-4119,
카페,에이그라운드,제주특별자치도 서귀포시 성산읍 서성일로 433,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F39F0C01BCD754250A55B0F4076C72DDC
카페,올드패션,제주특별자치도 서귀포시 남원읍 태위로 383 1층,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF7344BC98B894C77BF61B568E68F3FF4
갤러리카페,어리석은물고기,제주특별자치도 서귀포시 남원읍 태위로 148,070-8819-1883,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA06B092D857E472585C72CC204E1311F
카페,카페델보스케,제주특별자치도 서귀포시 상효동 1558,010-4239-4364,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A0ED4B3A3D649C598B4DEBD1ECC7655
카페,카페도구리3083,제주특별자치도 서귀포시 대정읍 노을해안로 702,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1202AB318EC24345BCBB8D4474804084
카페,카페데이앤데이,제주특별자치도 서귀포시 대정읍 노을해안로 216-1,010-1741-7064,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F13DBBC90FAF94CDFBEE611F3E9B21CB0
카페,카페깡,제주특별자치도 서귀포시 표선면 가시로565번길 18,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD8D7341731544CF6A383FF934F85BDE5
카페,언타이틀드2017,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,064-900-5564,
카페,샨티,제주특별자치도 서귀포시 중문로 22-1,064-738-3241,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0127DD79EF354E9C8FD322B0F251D1B3
커피전문점,빽다방 제주서귀포시청점,제주특별자치도 서귀포시 중앙로 109 1층,064-762-6451,
카페,카페봄봄 안덕화순점,제주특별자치도 서귀포시 안덕면 화순로 143 1층,,
카페,카페덕수리2180,제주특별자치도 서귀포시 안덕면 덕수동로25번길 42-8 1층,070-8286-2180,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE03365BC04F1445F9DA45BE7C52145B9
카페,인브레쏘,제주특별자치도 서귀포시 대정읍 최남단해안로 578,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FFC6535390B0C4A3D891DAE4762B7BBB0
커피전문점,메가커피 제주혁신도시점,제주특별자치도 서귀포시 대청로 34 유승한내들퍼스트오션 상가 1층 107호,,
카페,멜케,제주특별자치도 서귀포시 대정읍 최남단해안로127번길 3-3 1층,010-5028-5405,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4ECB86750FD94714BD0068E7E4905D56
카페,파스쿠찌 제주영어교육도시점,"제주특별자치도 서귀포시 대정읍 에듀시티로239번길 8 1층 131,132호",064-792-1042,
북카페,어나더페이지,제주특별자치도 서귀포시 대정읍 동일하모로220번길 19,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_308611332
카페,앙카페앤바,제주특별자치도 서귀포시 대정읍 하모항구로 75,064-794-5871,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F61C0830A122B46AFB478CF35EB20974B
카페,그대가사는시간,제주특별자치도 서귀포시 칠십리로 288,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F518405C57F2A4C5B9328810EC194D6F2
커피전문점,파우자,제주특별자치도 서귀포시 칠십리로 123,010-4668-3885,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC6C6E8A60E444441AD3BA822B8816C79
카페,카페커브코너,제주특별자치도 서귀포시 홍중로27번길 17,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F19D1E75BE3314BB895551DB08B6DD4F1
